"","Type","Sums","Means"
"105PS0660_8.3.10_2","ref",5.30444562206839,1.3261114055171
"105PS1492_8.6.14_1","ref",4.41568084830161,1.1039202120754
"105TMCACC_8.10.10_1","ref",4.92016438682177,1.23004109670544
"105WE0598_7.24.14_1","ref",3.18182809783159,0.795457024457897
"105WLC135_6.26.13_1","ref",4.57057280811587,1.14264320202897
"105WLCABC_8.3.11_1","ref",2.7907984885852,0.6976996221463
"106FS0040_8.30.11_1","ref",2.54941168275346,0.637352920688365
"106MNCAHC_10.1.08_1","ref",2.86208894610025,0.715522236525064
"106MNCAHC_10.1.08_2","ref",2.77952105371342,0.694880263428354
"106PS0115_9.21.10_1","ref",4.32640230971574,1.08160057742894
"106PS0124_8.16.10_1","ref",5.04612056112247,1.26153014028062
"106PS0166_8.2.11_1","ref",2.59898472393294,0.649746180983234
"106WE0505_7.21.14_1","ref",2.72223364368451,0.680558410921129
"106WE1079_8.8.12_1","ref",3.15575792911409,0.788939482278523
"106WER011_9.11.13_1","ref",5.93595983787696,1.48398995946924
"106WER016_10.20.09_1","ref",5.78404733018874,1.44601183254719
"106WER016_5.18.09_1","ref",6.18107808812921,1.5452695220323
"106WER016_6.22.09_1","ref",5.41691188636115,1.35422797159029
"106WER016_8.4.09_1","ref",6.12570235668148,1.53142558917037
"106WER016_9.16.09_1","ref",5.38409580936572,1.34602395234143
"107LLM101_9.13.10_1","ref",4.97173047916413,1.24293261979103
"107PS0021_7.14.14_1","ref",2.62664711043682,0.656661777609205
"107PS0021_9.3.08_1","ref",3.30583176001294,0.826457940003234
"107WER092_8.27.12_1","ref",4.27220381914211,1.06805095478553
"111BBRBCC_9.23.09_1","ref",5.21076689281053,1.30269172320263
"111BGCAER_10.6.09_1","ref",4.05144615106589,1.01286153776647
"111BGCAER_6.11.14_1","ref",1.93174182266038,0.482935455665096
"111CBCAER_8.8.13_1","ref",4.73600196356788,1.18400049089197
"111CBCAER_8.8.13_2","ref",4.54342272503909,1.13585568125977
"111CE0569_5.11.10_1","ref",4.75407106454696,1.18851776613674
"111CE0569_6.15.10_1","ref",5.31376668650855,1.32844167162714
"111CE0569_7.20.10_1","ref",5.19005287530578,1.29751321882645
"111CE0569_9.1.10_1","ref",5.31164216183977,1.32791054045994
"111ERATRC_10.10.12_1","ref",4.04203429555407,1.01050857388852
"111FS0001_7.5.11_1","ref",4.21707872124785,1.05426968031196
"111FS0007_7.11.11_1","ref",5.4751985250429,1.36879963126072
"111FS0008_5.2.12_1","ref",4.99741276269994,1.24935319067498
"111FS0008_6.7.12_1","ref",6.12624098846302,1.53156024711576
"111FS0008_7.19.12_1","ref",4.93834405081206,1.23458601270302
"111FS0008_7.6.11_1","ref",4.20425853316447,1.05106463329112
"111HSCAER_7.26.11_1","ref",5.36374610793728,1.34093652698432
"111HSCAER_7.26.11_2","ref",4.67413745496958,1.1685343637424
"111PAL105_7.13.11_1","ref",4.82490837957917,1.20622709489479
"111PS0060_10.7.08_1","ref",4.88702394408478,1.2217559860212
"111PS0110_6.24.09_1","ref",4.34134996566883,1.08533749141721
"111PS0110_6.9.14_1","ref",4.04993644787868,1.01248411196967
"111PS0144_8.18.10_1","ref",5.094189772444,1.273547443111
"111PS0160_7.25.11_1","ref",3.48729009557763,0.871822523894408
"111PS0204_8.17.10_1","ref",3.96031996371237,0.990079990928094
"111RSCAER_8.8.11_1","ref",3.76001346862074,0.940003367155186
"111TGCAER_7.24.12_1","ref",4.70249386794331,1.17562346698583
"111TGCAER_8.17.10_1","ref",4.48346245869319,1.1208656146733
"111WE0816_6.12.13_1","ref",5.52821208422782,1.38205302105696
"111WE1050_6.12.13_1","ref",4.34456776188463,1.08614194047116
"111WE1071_7.26.12_1","ref",5.49803187889362,1.3745079697234
"111WER003_6.10.14_1","ref",3.47388312975308,0.86847078243827
"111WER008_7.23.12_1","ref",4.41249287183344,1.10312321795836
"111WER159_10.19.09_1","ref",3.18494912095352,0.79623728023838
"111WER159_5.21.09_1","ref",4.92292833847218,1.23073208461804
"111WER159_6.24.09_1","ref",3.01704583968591,0.754261459921476
"111WER159_8.3.09_1","ref",3.75280045518422,0.938200113796055
"111WER159_9.16.09_1","ref",3.28817014509074,0.822042536272684
"113RG8046_8.19.10_1","ref",4.414582438293,1.10364560957325
"113RG8046_8.19.10_2","ref",3.65159343298453,0.912898358246134
"114CE0131_7.31.12_1","ref",3.6427458990717,0.910686474767924
"114PS0145_6.20.11_1","ref",4.69072077412094,1.17268019353023
"114WE0614_7.9.12_1","ref",3.56407389898129,0.891018474745322
"114WE0614_7.9.12_2","ref",2.67150621587033,0.667876553967582
"115EBAG01_7.1.10_1","ref",3.9796900192553,0.994922504813826
"201AHO350_6.20.12_1","ref",3.75670356131908,0.93917589032977
"201CHE300_6.18.12_1","ref",4.19108988307651,1.04777247076913
"201LAG335_7.15.09_1","ref",2.81557361137681,0.703893402844202
"201MRS020_9.13.10_1","ref",5.08651797222127,1.27162949305532
"202BUT030_6.29.10_1","ref",4.3189931351403,1.07974828378508
"202BUT040_6.14.11_1","ref",4.44281017459806,1.11070254364952
"202BUT040_6.4.14_1","ref",3.16486062555668,0.791215156389171
"202BUT050_6.16.09_1","ref",1.55437189311961,0.388592973279903
"202BUT480_6.25.12_1","ref",2.32097344709255,0.580243361773137
"202BUT600_6.26.12_1","ref",3.62961425088187,0.907403562720467
"202DRY010_6.5.13_1","ref",2.82854899054943,0.707137247637357
"202PES168_6.6.13_1","ref",3.40552410810506,0.851381027026266
"202R00024_6.6.12_1","ref",4.75933639718944,1.18983409929736
"202R00280_5.22.13_1","ref",3.86041743213292,0.965104358033231
"202SPE090_6.15.09_1","ref",3.85692892343061,0.964232230857651
"204AHOACR_6.2.14_1","ref",2.6602403924202,0.66506009810505
"204ALA500_6.10.13_1","ref",2.99346154836929,0.748365387092322
"204ALA500_6.10.13_2","ref",4.03974797988706,1.00993699497176
"204ARH090_6.2.14_1","ref",4.08656686693953,1.02164171673488
"204IND200_4.13.09_1","ref",4.27750173815316,1.06937543453829
"204IND200_4.29.08_1","ref",3.84829313749307,0.962073284373267
"204IND200_5.25.10_1","ref",5.26621156157362,1.3165528903934
"204IND200_5.25.10_2","ref",5.66864297678709,1.41716074419677
"204IND200_6.11.09_1","ref",4.76532441374122,1.1913311034353
"204R00189_5.6.13_1","ref",4.66573507537137,1.16643376884284
"204SIN300_5.15.12_1","ref",5.17591409140506,1.29397852285126
"204VAL400_5.19.14_1","ref",3.51170689613048,0.877926724032619
"205AAG075_6.12.13_1","ref",3.99243469991752,0.99810867497938
"205AAG375_5.14.14_1","ref",4.71868864275647,1.17967216068912
"205AAG400_6.5.12_1","ref",4.08324701904984,1.02081175476246
"205AAG400_6.5.12_2","ref",4.14179869779837,1.03544967444959
"205COY585_5.28.13_1","ref",4.46229605963509,1.11557401490877
"205COY610_4.15.09_1","ref",5.63968541508783,1.40992135377196
"205COY610_4.15.09_2","ref",4.99841152416633,1.24960288104158
"205COY610_4.30.08_1","ref",4.15606426995511,1.03901606748878
"205COY610_6.3.10_1","ref",5.57826770742992,1.39456692685748
"205COY610_6.8.09_1","ref",4.3969644150916,1.0992411037729
"205COY615_6.3.14_1","ref",4.21355240530894,1.05338810132723
"205COY615_6.3.14_2","ref",4.01887550059585,1.00471887514896
"205COY850_5.21.12_1","ref",4.60030065591865,1.15007516397966
"205COY853_5.29.14_1","ref",3.87780899307246,0.969452248268114
"205COY900_5.16.12_1","ref",3.94921119534061,0.987302798835152
"205COY930_5.7.13_1","ref",4.85767692998459,1.21441923249615
"205CYCAHH_6.10.08_1","ref",5.2732702527185,1.31831756317963
"205CYCBBC_6.28.10_1","ref",5.02097871769868,1.25524467942467
"205LGA700_5.23.12_1","ref",5.39371087601577,1.34842771900394
"205R00021_5.16.12_1","ref",3.98969588388591,0.997423970971477
"205R00182_5.7.13_1","ref",5.0682590250682,1.26706475626705
"205SFC880_6.19.12_1","ref",4.64706026087915,1.16176506521979
"205WUN450_6.11.12_1","ref",4.03216572858524,1.00804143214631
"205WUN550_5.6.13_1","ref",2.78630465338123,0.696576163345306
"206BRC020_6.27.12_1","ref",2.43847485390994,0.609618713477485
"206BRC020_6.27.12_2","ref",1.39307155825534,0.348267889563834
"206HCT020_5.29.12_1","ref",4.57034970932503,1.14258742733126
"206RCCBDC_7.20.10_1","ref",3.01854498915527,0.754636247288817
"206TUL120_6.13.11_1","ref",4.1945486686973,1.04863716717432
"207GVC800_5.23.13_1","ref",2.72423567011855,0.681058917529636
"207SUI290_6.4.12_1","ref",3.74070693964719,0.935176734911798
"207SUI800_5.5.14_1","ref",3.10367243507651,0.775918108769127
"304WDCAH1_6.29.10_1","ref",4.59422694232872,1.14855673558218
"305LGCACR_7.16.08_1","ref",4.30628504455356,1.07657126113839
"305LGCBRC_6.30.10_1","ref",4.82519185825621,1.20629796456405
"305SSCAUC_6.29.10_1","ref",3.72885303327332,0.93221325831833
"305UVCASC_6.29.10_1","ref",5.80367590237648,1.45091897559412
"307CE0094_6.12.12_1","ref",5.10065916754086,1.27516479188521
"307CE0094_6.12.12_2","ref",5.16848057394397,1.29212014348599
"307CMRADC_5.20.14_1","ref",4.44278089601731,1.11069522400433
"307CMRADC_5.20.14_2","ref",4.61031005994455,1.15257751498614
"307CMRADC_6.22.10_1","ref",3.81992046409329,0.954980116023323
"307SCCARR_6.21.10_1","ref",4.99139045391278,1.2478476134782
"308BSU_7.13.10_1","ref",3.11467654248075,0.778669135620188
"308LILPAL_6.20.12_1","ref",4.23038995976177,1.05759748994044
"308LSRASC_6.13.11_1","ref",3.10780518495004,0.77695129623751
"308LSRASC_7.18.11_1","ref",4.55133555460936,1.13783388865234
"308MWCAH1_6.23.10_1","ref",3.27401762984398,0.818504407460996
"308PS0156_6.19.12_1","ref",5.20871893331458,1.30217973332865
"308PWCAH1_6.22.10_1","ref",5.9427976695488,1.4856994173872
