,Type,Score,prop.spp.IndicatorClass_DOC_high,prop.spp.Trophic.I,prop.spp.BCG3,prop.spp.ZHR
111HSCAER_7.26.11_1,ref,1.340936527,1.818765211,0.505021417,2.251483077,0.788476403
111HSCAER_7.26.11_2,ref,1.168534364,1.352625431,1.005446956,0.931896907,1.384168161
111PAL105_7.13.11_1,ref,1.206227095,1.694858273,1.038591241,1.308600867,0.782857999
111PS0060_10.7.08_1,ref,1.221755986,1.11157385,1.183924722,1.073416569,1.518108803
111PS0110_6.24.09_1,ref,1.085337491,1.379752919,0.694404449,1.725115071,0.542077527
111PS0110_6.9.14_1,ref,1.012484112,1.371543269,0,0.728399519,1.949993659
111PS0144_8.18.10_1,ref,1.273547443,2.460278138,0.44670591,1.42960121,0.757604515
111PS0160_7.25.11_1,ref,0.871822524,1.037468927,0.552498203,1.18887219,0.708450775
111PS0204_8.17.10_1,ref,0.990079991,1.655703502,1.249928008,1.054688454,0
111RSCAER_8.8.11_1,ref,0.940003367,1.248577321,1.508170433,0.484202654,0.51906306
111TGCAER_7.24.12_1,ref,1.175623467,2.311170372,0.629449237,1.406029714,0.355844545
111TGCAER_8.17.10_1,ref,1.120865615,0.845762712,0.960866441,0.82870085,1.848132456
111WE0816_6.12.13_1,ref,1.382053021,1.885662322,0.925872598,1.704799113,1.011878051
111WE1050_6.12.13_1,ref,1.08614194,1.430661514,1.256808694,0.791992453,0.865105101
111WE1071_7.26.12_1,ref,1.37450797,2.589366806,0.288497567,1.152308758,1.467858748
111WER003_6.10.14_1,ref,0.868470782,0.897809648,0,0.396224943,2.179848538
111WER008_7.23.12_1,ref,1.103123218,1.810925706,0.520803337,1.877484757,0.203279073
111WER159_10.19.09_1,ref,0.79623728,1.170541239,0.942606521,1.071801362,0
111WER159_5.21.09_1,ref,1.230732085,1.842237253,0.602081879,1.797863121,0.680746086
111WER159_6.24.09_1,ref,0.75426146,0.991698239,1.299995773,0.725351828,0
111WER159_8.3.09_1,ref,0.938200114,1.609711738,0.925872598,1.217216118,0
111WER159_9.16.09_1,ref,0.822042536,0.867067584,1.675744926,0.745357635,0
113RG8046_8.19.10_1,ref,1.10364561,1.665886336,0.532610893,1.212421108,1.003664101
113RG8046_8.19.10_2,ref,0.912898358,0.736042144,0.298647678,1.085118152,1.531785459
114CE0131_7.31.12_1,ref,0.910686475,1.107011063,0.193787288,1.8881152,0.453832348
114PS0145_6.20.11_1,ref,1.172680194,1.311006187,0.90490226,1.021435758,1.453376569
114WE0614_7.9.12_1,ref,0.891018475,1.569313216,0.21980767,1.40216349,0.372789523
114WE0614_7.9.12_2,ref,0.667876554,0.703996772,0.315713259,1.044552664,0.607243521
115EBAG01_7.1.10_1,ref,0.994922505,1.893490707,0.177294753,1.770501786,0.138402773
201AHO350_6.20.12_1,ref,0.93917589,1.276954078,2.056596045,0.423153438,0
201CHE300_6.18.12_1,ref,1.047772471,2.245325062,0.532610893,1.212421108,0.20073282
201LAG335_7.15.09_1,ref,0.703893403,0.555786925,0.789283148,1.470503539,0
201MRS020_9.13.10_1,ref,1.271629493,1.751224858,0.961483083,2.123620403,0.250189628
202BUT030_6.29.10_1,ref,1.079748284,1.404649486,2.26225565,0.652087999,0
202BUT040_6.14.11_1,ref,1.110702544,1.98779674,0.769326845,1.68568659,0
202BUT040_6.4.14_1,ref,0.791215156,0.881848588,0,0.582730178,1.70028186
202BUT050_6.16.09_1,ref,0.388592973,1.149794099,0,0.404577794,0
202BUT480_6.25.12_1,ref,0.580243362,1.040481101,0.628404347,0.652087999,0
202BUT600_6.26.12_1,ref,0.907403563,2.421226104,0.741850886,0.466537261,0
202DRY010_6.5.13_1,ref,0.707137248,1.152743252,1.227773785,0.448031953,0
202PES168_6.6.13_1,ref,0.851381027,1.675414258,0.396802542,1.333307308,0
202R00024_6.6.12_1,ref,1.189834099,1.470503539,2.010893911,0.931896907,0.34604204
202R00280_5.22.13_1,ref,0.965104358,2.390184744,0.532610893,0.937621796,0
202SPE090_6.15.09_1,ref,0.964232231,0.720464533,1.227773785,1.121523078,0.787167528
204AHOACR_6.2.14_1,ref,0.665060098,0.629887202,0,1.181884017,0.848469173
204ALA500_6.10.13_1,ref,0.748365387,0.746432094,0.655726275,0.688584813,0.902718366
204ALA500_6.10.13_2,ref,1.009936995,1.614150736,0.494567257,1.23204963,0.698980356
204ARH090_6.2.14_1,ref,1.021641717,0.778101695,0.789283148,1.102280474,1.41690155
204IND200_4.13.09_1,ref,1.069375435,1.478306699,0.595203813,2.203991226,0
204IND200_4.29.08_1,ref,0.962073284,1.276954078,1.37106403,0.728399519,0.471875509
204IND200_5.25.10_1,ref,1.31655289,2.421226104,0.494567257,1.23204963,1.11836857
204IND200_5.25.10_2,ref,1.417160744,1.104712283,0.818515857,1.121523078,2.623891759
204IND200_6.11.09_1,ref,1.191331103,1.293518361,0.781205005,1.877484757,0.813116291
204R00189_5.6.13_1,ref,1.166433769,1.412081494,2.15452919,0.851951505,0.247172886
204SIN300_5.15.12_1,ref,1.293978523,2.390184744,0.532610893,1.349820764,0.903297691
204VAL400_5.19.14_1,ref,0.877926724,1.076098089,0.940422474,0.892249503,0.60293683
205AAG075_6.12.13_1,ref,0.998108675,1.751224858,0.961483083,1.279726759,0
205AAG375_5.14.14_1,ref,1.179672161,1.349098377,1.533732644,0.780136144,1.055721479
205AAG400_6.5.12_1,ref,1.020811755,1.694858273,0.461596107,1.665839973,0.260952666
205AAG400_6.5.12_2,ref,1.035449674,0.839129279,1.624994716,0.844203203,0.8334715
205COY585_5.28.13_1,ref,1.115574015,1.71483577,0.357122288,1.368134664,1.022203337
205COY610_4.15.09_1,ref,1.409921354,1.080499605,1.740196654,1.221872048,1.597117109
205COY610_4.15.09_2,ref,1.249602881,2.273590366,0.168876624,1.792180632,0.763763901
205COY610_4.30.08_1,ref,1.039016067,1.221872048,0.566664824,0.914295039,1.453232359
205COY610_6.3.10_1,ref,1.394566927,1.567901044,0.757532126,2.661477235,0.591357302
205COY610_6.8.09_1,ref,1.099241104,1.268086342,0.706954891,1.124265532,1.297657651
205COY615_6.3.14_1,ref,1.053388101,2.160113485,0.271527122,1.014403957,0.767507842
205COY615_6.3.14_2,ref,1.004718875,1.00595702,0.516353461,0.907516552,1.589048467
205COY850_5.21.12_1,ref,1.150075164,1.818765211,0.505021417,1.586597175,0.689916853
205COY853_5.29.14_1,ref,0.969452248,1.144529211,0.837872463,0.857281198,1.038126121
205COY900_5.16.12_1,ref,0.987302799,1.913549663,0.44670591,1.083885946,0.505069677
205COY930_5.7.13_1,ref,1.214419232,1.126759285,0.90573476,0.966951344,1.858231541
205CYCAHH_6.10.08_1,ref,1.318317563,1.675414258,0.793605084,2.029854443,0.774396467
205CYCBBC_6.28.10_1,ref,1.255244679,1.276954078,1.37106403,0.957334081,1.415626528
205LGA700_5.23.12_1,ref,1.348427719,2.435141196,0.955026428,1.733592217,0.269951034
205R00021_5.16.12_1,ref,0.997423971,1.221872048,1.339389584,0.999070146,0.429364106
205R00182_5.7.13_1,ref,1.267064756,1.567901044,1.470503539,2.029854443,0
205SFC880_6.19.12_1,ref,1.161765065,1.365631445,1.885213042,1.071801362,0.324414413
205WUN450_6.11.12_1,ref,1.008041432,2.197038502,0.576995134,1.040671538,0.217460555
205WUN550_5.6.13_1,ref,0.696576163,1.080696799,0.920830339,0.784777515,0
206BRC020_6.27.12_1,ref,0.609618713,1.763017618,0,0.675457236,0
206BRC020_6.27.12_2,ref,0.34826789,1.300601376,0,0.092470182,0
206HCT020_5.29.12_1,ref,1.142587427,2.095792488,0.44670591,1.775316473,0.252534838
206RCCBDC_7.20.10_1,ref,0.754636247,0.720464533,0.613886893,0.897026036,0.787167528
206TUL120_6.13.11_1,ref,1.048637167,1.498697136,0.862019316,1.609524275,0.224307942
207GVC800_5.23.13_1,ref,0.681058918,1.11480118,1.077264595,0.532169895,0
