,Type,Score,prop.spp.Salinity.BF,prop.spp.HighMotility,prop.ind.most.tol,prop.spp.BCG3
113RG8046_8.19.10_2,ref,0.997923559,0.96780929,0.8339498,NA,1.192011587
114CE0131_7.31.12_1,ref,1.114993158,1.216735285,NA,1.489356703,0.638887485
114PS0145_6.20.11_1,ref,0.978044568,NA,0.906510475,0.743630137,1.283993093
114WE0614_7.9.12_1,ref,1.015541391,1.484537635,0.456035362,1.106051176,NA
114WE0614_7.9.12_2,ref,0.844556741,0.968075595,0.430345496,NA,1.135249131
115EBAG01_7.1.10_1,ref,0.942496269,0.883126356,NA,1.174029214,0.770333236
201AHO350_6.20.12_1,ref,0.852431262,NA,1.300066413,0.743630137,0.513597237
201CHE300_6.18.12_1,ref,0.764293776,0.941212956,0.44167901,0.909989363,NA
201LAG335_7.15.09_1,ref,1.303190524,1.053344237,1.106382706,NA,1.749844629
201MRS020_9.13.10_1,ref,0.889459824,1.107893965,NA,0.790152271,0.770333236
202BUT030_6.29.10_1,ref,0.915996951,NA,1.096940768,0.756396834,0.894653252
202BUT040_6.14.11_1,ref,1.274700053,1.60497217,0.910195458,1.308932529,NA
202BUT040_6.4.14_1,ref,0.857517436,1.133196051,1.439356257,NA,0
202BUT050_6.16.09_1,ref,0.831681574,1.438667712,NA,0.707892926,0.348484083
202BUT480_6.25.12_1,ref,1.079058018,NA,1.53679179,0.889439257,0.810943006
202BUT600_6.26.12_1,ref,1.109228662,1.612463763,0.875815114,0.83940711,NA
202DRY010_6.5.13_1,ref,0.480214527,0.443448505,0.294759675,NA,0.7024354
202PES168_6.6.13_1,ref,0.872225619,0.99264175,NA,0.982090743,0.641944363
202R00024_6.6.12_1,ref,0.86591903,NA,1.171558352,0.54574633,0.880452406
202R00280_5.22.13_1,ref,0.607260935,1.072804057,0.222588584,0.526390164,NA
202SPE090_6.15.09_1,ref,1.247652554,1.138046103,1.106382706,NA,1.498528853
204AHOACR_6.2.14_1,ref,0.718169509,1.436339018,NA,NA,0
204ALA500_6.10.13_1,ref,0.971478884,NA,1.102163998,0.949429295,0.862843358
204ALA500_6.10.13_2,ref,0.921404579,1.082683636,0.629237811,1.052292291,NA
204ARH090_6.2.14_1,ref,1.026541015,0.963775633,0.710976614,NA,1.4048708
204IND200_4.13.09_1,ref,1.063469844,1.335860733,NA,0.838136889,1.016411908
204IND200_4.29.08_1,ref,0.897394668,NA,0.99084389,0.54574633,1.155593783
204IND200_5.25.10_1,ref,1.119670002,1.749844629,0.919745553,0.689419824,NA
204IND200_5.25.10_2,ref,0.998357256,1.139397749,0.8339498,NA,1.021724218
204IND200_6.11.09_1,ref,1.092655193,1.438374521,NA,0.968380852,0.871210207
204R00189_5.6.13_1,ref,0.873676494,NA,1.055901096,0.596630738,0.968497647
204SIN300_5.15.12_1,ref,1.443373729,1.747349708,1.139397749,NA,NA
204VAL400_5.19.14_1,ref,1.040163312,1.048977323,0.82273857,NA,1.248774044
205AAG075_6.12.13_1,ref,0.989253348,1.215687795,NA,1.086784455,0.665287794
205AAG375_5.14.14_1,ref,0.831947641,NA,0.940243841,0.569492387,0.986106695
205AAG400_6.5.12_1,ref,0.941870102,1.337628097,0.762851128,0.725131082,NA
205AAG400_6.5.12_2,ref,1.073654703,1.048185224,1.280797423,NA,0.89198146
205COY585_5.28.13_1,ref,1.071797551,1.098414546,NA,1.385161533,0.731816574
205COY610_4.15.09_1,ref,0.78413702,NA,0.504304955,0.408749849,1.439356257
205COY610_4.15.09_2,ref,1.232843412,1.736584644,0.951124438,1.010821152,NA
205COY610_4.30.08_1,ref,0.854076184,0.873038621,0.640219734,NA,1.048970197
205COY610_6.3.10_1,ref,1.371359722,1.439356257,NA,1.535325161,1.139397749
205COY610_6.8.09_1,ref,0.826455854,NA,0.550436054,0.787604316,1.141327194
205COY615_6.3.14_1,ref,0.85528887,1.210712682,0.53113013,0.824023799,NA
205COY615_6.3.14_2,ref,0.923312182,0.78619233,0.927089255,NA,1.05665496
205COY850_5.21.12_1,ref,0.894735807,0.992897124,NA,1.020478437,0.670831859
205COY853_5.29.14_1,ref,0.800524091,NA,0.772740229,0.566217069,1.062614973
205COY900_5.16.12_1,ref,0.945235639,1.206323797,0.773310756,0.856072364,NA
205COY930_5.7.13_1,ref,0.986729002,0.870376255,0.919085083,NA,1.170725666
205CYCAHH_6.10.08_1,ref,0.951050712,1.100682099,NA,0.968380852,0.784089186
205CYCBBC_6.28.10_1,ref,1.329935962,NA,1.749844629,1.139397749,1.100565508
205LGA700_5.23.12_1,ref,1.091470808,1.611906728,0.823098587,0.83940711,NA
205R00021_5.16.12_1,ref,0.856775058,1.130968916,1.439356257,NA,0
205R00182_5.7.13_1,ref,1.009675365,1.102314014,NA,0.968380852,0.958331228
205SFC880_6.19.12_1,ref,0.937386029,NA,0.971382333,0.774073799,1.066701954
205WUN450_6.11.12_1,ref,1.209675716,1.61383035,0.875815114,1.139381684,NA
205WUN550_5.6.13_1,ref,0.96911755,0.873295143,0.963679755,NA,1.070377752
206BRC020_6.27.12_1,ref,0.96138592,1.327503912,NA,1.166351676,0.390302173
