"","Type","Sums","Means"
"308PS0156_6.19.12_1","ref",2.90440753570382,0.968135845234607
"308PWCAH1_6.22.10_1","ref",2.78314908804876,0.927716362682919
"308ROCBBQ_6.21.12_1","ref",3.23159150702991,1.07719716900997
"308SAM_6.23.10_1","ref",3.75412346011307,1.25137448670436
"308SANWIL_6.12.12_1","ref",3.03061279187629,1.01020426395876
"308SBCAH1_6.21.10_1","ref",2.85032596247377,0.950108654157923
"308SBCAH1_6.21.10_2","ref",3.16962075312858,1.05654025104286
"309ARCBRC_8.25.08_1","ref",3.2981517743648,1.09938392478827
"309ARSARC_6.23.10_1","ref",3.23013084932076,1.07671028310692
"309CAW126_5.21.14_1","ref",1.74984462916988,0.874922314584941
"309NAF_5.24.12_1","ref",3.08898194755181,1.02966064918394
"309PS0116_6.16.11_1","ref",3.00105353839913,1.00035117946638
"309PS0116_6.16.11_2","ref",3.00318684620154,1.00106228206718
"309WLCATC_6.22.10_1","ref",2.68256443407106,0.894188144690354
"310COO_6.24.10_1","ref",2.92254996514852,0.974183321716175
"310LPCBPC_6.9.09_1","ref",3.43666157315383,1.14555385771794
"312DAVDAV_6.7.12_1","ref",3.12115061760536,1.04038353920179
"312MZCDBC_5.13.14_1","ref",1.74984462916988,0.874922314584941
"312MZCDBC_6.14.10_1","ref",2.38980586164947,0.796601953883157
"312PS0099_6.14.10_1","ref",2.23588885931188,0.745296286437294
"312PS0099_6.14.10_2","ref",2.36992475587648,0.789974918625493
"312RYCALR_6.16.10_1","ref",2.83982470744902,0.946608235816341
"315CHCALS_6.15.10_1","ref",2.87757627436641,1.4387881371832
"402BA0095_5.29.08_1","ref",3.55005505524128,1.18335168508043
"402BA0287_6.9.08_1","ref",3.39413287668616,1.13137762556205
"402BA0287_6.9.08_2","ref",1.74984462916988,0.874922314584941
"402M00005_6.11.15_1","ref",2.72020873126561,0.906736243755204
"402M00009_6.29.15_1","ref",2.57043075449436,0.856810251498119
"402MTCUNF_6.5.12_1","ref",3.5364997225433,1.17883324084777
"402PS0048_5.21.08_1","ref",2.45718610235039,0.819062034116796
"403BA0015_5.19.08_1","ref",2.88864555323118,0.962881851077059
"403BA0064_5.12.08_1","ref",2.9929944352466,0.997664811748868
"403BA0064_6.18.14_1","ref",1.21993879239898,0.406646264132993
"403BA0140_5.21.08_1","ref",1.30567820587046,0.435226068623487
"403BA0171_5.19.08_1","ref",2.03323467951651,0.67774489317217
"403BA0960_5.21.08_1","ref",2.67394048330787,0.891313494435958
"403LNCASC_6.15.10_1","ref",3.73581455474021,1.24527151824674
"403S00064_6.2.10_1","ref",2.47822864090537,0.826076213635124
"403S00875_6.24.10_1","ref",2.32388039942113,0.774626799807044
"403S00960_6.2.10_1","ref",2.2428929556669,0.747630985222299
"403S01536_7.12.11_1","ref",2.01451918049242,0.671506393497475
"403S01536_7.12.11_2","ref",2.33647426594987,0.778824755316623
"403S01883_6.21.10_1","ref",2.28552920649127,0.761843068830424
"403S03643_6.24.10_1","ref",2.04148477279543,0.680494924265143
"403S03643_6.24.10_2","ref",2.29430709793359,0.76476903264453
"403S06315_6.27.12_1","ref",2.09156706095033,0.697189020316778
"403STC064_6.8.11_1","ref",3.8307151956039,1.2769050652013
"403STC086_6.21.11_1","ref",3.47808436037003,1.15936145345668
"403STC086_6.21.11_2","ref",3.89907022822115,1.29969007607372
