"","Type","Sums","Means"
"111WER159_5.21.09_1","ref",3.97209821004169,0.993024552510422
"111WER159_6.24.09_1","ref",4.88883818007657,1.22220954501914
"111WER159_8.3.09_1","ref",4.66253366231356,1.16563341557839
"111WER159_9.16.09_1","ref",2.7002601407702,0.67506503519255
"113RG8046_8.19.10_1","ref",3.47204422621739,0.868011056554348
"113RG8046_8.19.10_2","ref",3.45575325416989,0.863938313542474
"114CE0131_7.31.12_1","ref",3.2632543018735,0.815813575468374
"114PS0145_6.20.11_1","ref",4.49460326740384,1.12365081685096
"114WE0614_7.9.12_1","ref",2.99822764273282,0.749556910683206
"114WE0614_7.9.12_2","ref",3.19657440872374,0.799143602180934
"115EBAG01_7.1.10_1","ref",3.82663738453589,0.956659346133974
"201AHO350_6.20.12_1","ref",3.59103315088643,0.897758287721607
"201CHE300_6.18.12_1","ref",3.74517757520609,0.936294393801523
"201LAG335_7.15.09_1","ref",3.93006444505871,0.982516111264678
"201MRS020_9.13.10_1","ref",5.15425998897322,1.2885649972433
"202BUT030_6.29.10_1","ref",3.59103315088643,0.897758287721607
"202BUT040_6.14.11_1","ref",2.91216845273338,0.728042113183345
"202BUT040_6.4.14_1","ref",4.14027531587527,1.03506882896882
"202BUT050_6.16.09_1","ref",3.04391202304739,0.760978005761846
"202BUT480_6.25.12_1","ref",3.14564664582832,0.786411661457079
"202BUT600_6.26.12_1","ref",3.56633490532593,0.891583726331482
"202DRY010_6.5.13_1","ref",2.4166190953336,0.604154773833399
"202PES168_6.6.13_1","ref",3.04391202304739,0.760978005761846
"202R00024_6.6.12_1","ref",5.0381595638119,1.25953989095297
"202R00280_5.22.13_1","ref",3.8015617678753,0.950390441968825
"202SPE090_6.15.09_1","ref",4.42112521828837,1.10528130457209
"204AHOACR_6.2.14_1","ref",3.55869368527161,0.889673421317902
"204ALA500_6.10.13_1","ref",2.3321926654202,0.583048166355051
"204ALA500_6.10.13_2","ref",2.56598465891092,0.641496164727731
"204ARH090_6.2.14_1","ref",3.33808610520379,0.834521526300947
"204IND200_4.13.09_1","ref",3.30893359765598,0.827233399413995
"204IND200_4.29.08_1","ref",4.21681053381103,1.05420263345276
"204IND200_5.25.10_1","ref",4.76610059363609,1.19152514840902
"204IND200_5.25.10_2","ref",4.75229639652985,1.18807409913246
"204IND200_6.11.09_1","ref",3.34321546395897,0.835803865989742
"204R00189_5.6.13_1","ref",4.93094611562985,1.23273652890746
"204SIN300_5.15.12_1","ref",4.13856452634226,1.03464113158556
"204VAL400_5.19.14_1","ref",3.96808488971072,0.99202122242768
"205AAG075_6.12.13_1","ref",3.04391202304739,0.760978005761846
"205AAG375_5.14.14_1","ref",4.43438686380795,1.10859671595199
"205AAG400_6.5.12_1","ref",4.27827958920287,1.06956989730072
"205AAG400_6.5.12_2","ref",3.93694643073795,0.984236607684486
"205COY585_5.28.13_1","ref",4.15407149458437,1.03851787364609
"205COY610_4.15.09_1","ref",4.36052200699333,1.09013050174833
"205COY610_4.15.09_2","ref",4.78454338367582,1.19613584591896
"205COY610_4.30.08_1","ref",4.74117460362448,1.18529365090612
"205COY610_6.3.10_1","ref",3.84186465805422,0.960466164513554
"205COY610_6.8.09_1","ref",4.15308170912377,1.03827042728094
"205COY615_6.3.14_1","ref",3.30895443173408,0.827238607933521
"205COY615_6.3.14_2","ref",3.30124354940734,0.825310887351834
"205COY850_5.21.12_1","ref",4.14437757200162,1.03609439300041
"205COY853_5.29.14_1","ref",3.86340234513858,0.965850586284645
"205COY900_5.16.12_1","ref",3.02068373194292,0.75517093298573
"205COY930_5.7.13_1","ref",4.38069652356246,1.09517413089061
"205CYCAHH_6.10.08_1","ref",4.30404896413907,1.07601224103477
"205CYCBBC_6.28.10_1","ref",4.52903742616816,1.13225935654204
"205LGA700_5.23.12_1","ref",4.75213751734324,1.18803437933581
"205R00021_5.16.12_1","ref",3.7079354070139,0.926983851753476
"205R00182_5.7.13_1","ref",2.55835243396699,0.639588108491748
"205SFC880_6.19.12_1","ref",3.83796327997278,0.959490819993196
"205WUN450_6.11.12_1","ref",3.74517757520609,0.936294393801523
"205WUN550_5.6.13_1","ref",2.68393864556936,0.67098466139234
"206BRC020_6.27.12_1","ref",3.54049978019413,0.885124945048533
"206BRC020_6.27.12_2","ref",3.14564664582832,0.786411661457079
"206HCT020_5.29.12_1","ref",4.23202785276754,1.05800696319188
"206RCCBDC_7.20.10_1","ref",3.22219528839068,0.805548822097669
"206TUL120_6.13.11_1","ref",3.70910805622937,0.927277014057343
"207GVC800_5.23.13_1","ref",2.7002601407702,0.67506503519255
"207SUI290_6.4.12_1","ref",2.72362845064524,0.680907112661311
"207SUI800_5.5.14_1","ref",3.97740367273679,0.994350918184199
"304WDCAH1_6.29.10_1","ref",2.12348140547056,0.530870351367639
"305LGCACR_7.16.08_1","ref",3.93262365767043,0.983155914417609
"305LGCBRC_6.30.10_1","ref",3.87274117121937,0.968185292804843
"305SSCAUC_6.29.10_1","ref",3.14841259096625,0.787103147741562
"305UVCASC_6.29.10_1","ref",5.07507071537314,1.26876767884328
"307CE0094_6.12.12_1","ref",4.66516181746219,1.16629045436555
"307CE0094_6.12.12_2","ref",4.56593605663939,1.14148401415985
"307CMRADC_5.20.14_1","ref",4.10362353595438,1.02590588398859
"307CMRADC_5.20.14_2","ref",4.38484162902438,1.0962104072561
"307CMRADC_6.22.10_1","ref",4.311700695884,1.077925173971
"307SCCARR_6.21.10_1","ref",3.4047966229527,0.851199155738175
"308BSU_7.13.10_1","ref",2.9781726957201,0.744543173930024
"308LILPAL_6.20.12_1","ref",4.26835331387149,1.06708832846787
"308LSRASC_6.13.11_1","ref",3.94292169808037,0.985730424520093
"308LSRASC_7.18.11_1","ref",4.23202785276754,1.05800696319188
"308MWCAH1_6.23.10_1","ref",2.4166190953336,0.604154773833399
"308PS0156_6.19.12_1","ref",4.73405495200003,1.18351373800001
"308PWCAH1_6.22.10_1","ref",5.15059711602135,1.28764927900534
"308ROCBBQ_6.21.12_1","ref",4.6455313488348,1.1613828372087
"308SAM_6.23.10_1","ref",4.09061676233977,1.02265419058494
"308SANWIL_6.12.12_1","ref",3.54049978019413,0.885124945048533
"308SBCAH1_6.21.10_1","ref",3.00332741220384,0.75083185305096
"308SBCAH1_6.21.10_2","ref",4.4540664008763,1.11351660021907
