,Type,Combo,cnt.spp.IndicatorClass_TP_high,prop.spp.IndicatorClass_DOC_high,prop.spp.Green,prop.spp.BCG3
304WDCAH1_6.29.10_1,ref,0.530870351,1.060086298,0.496587757,0.56680735,0
305LGCACR_7.16.08_1,ref,0.983155914,0.538936358,1.45999046,0.729053319,1.204643521
305LGCBRC_6.30.10_1,ref,0.968185293,1.58706058,0.992758292,0.694104124,0.598818175
305SSCAUC_6.29.10_1,ref,0.787103148,0.801958651,0.48839336,0.866147718,0.991912862
305UVCASC_6.29.10_1,ref,1.268767679,1.060086298,0.885503477,1.983825725,1.145655215
307CE0094_6.12.12_1,ref,1.166290454,1.077872716,1.844642442,0.859241411,0.883405249
307CE0094_6.12.12_2,ref,1.141484014,1.58706058,1.115867245,1.033875373,0.829132858
307CMRADC_5.20.14_1,ref,1.025905884,0.801958651,1.218616935,0.880729329,1.202318621
307CMRADC_5.20.14_2,ref,1.096210407,0.795064724,1.286964865,1.526723023,0.776089017
307CMRADC_6.22.10_1,ref,1.077925174,1.077872716,1.685575833,0.791047649,0.757204499
307SCCARR_6.21.10_1,ref,0.851199156,1.58706058,0.49262817,1.325107873,0
308BSU_7.13.10_1,ref,0.744543174,0.801958651,0.48839336,1.026545443,0.661275242
308LILPAL_6.20.12_1,ref,1.067088328,1.060086298,1.239063222,1.72618602,0.243017773
308LSRASC_6.13.11_1,ref,0.985730425,1.077872716,0.998408082,1.336597751,0.530043149
308LSRASC_7.18.11_1,ref,1.058006963,1.190295435,0.94274528,1.088481467,1.010505671
308MWCAH1_6.23.10_1,ref,0.604154774,1.069278201,0,1.347340894,0
308PS0156_6.19.12_1,ref,1.183513738,1.060086298,0.799077762,1.983825725,0.891065167
308PWCAH1_6.22.10_1,ref,1.287649279,1.077872716,1.770411358,1.124439378,1.177873665
308ROCBBQ_6.21.12_1,ref,1.161382837,1.983825725,1.336597751,1.325107873,0
308SAM_6.23.10_1,ref,1.022654191,0.801958651,0.9346411,0.866147718,1.487869293
308SANWIL_6.12.12_1,ref,0.885124945,1.060086298,0.496587757,1.983825725,0
308SBCAH1_6.21.10_1,ref,0.750831853,0.808404537,1.176562684,1.018360191,0
308SBCAH1_6.21.10_2,ref,1.1135166,1.58706058,1.092784317,1.325107873,0.449113631
309ARCBRC_8.25.08_1,ref,1.150153963,0.801958651,1.182556512,0.705749992,1.910350698
309ARSARC_6.23.10_1,ref,1.222350291,1.060086298,1.177190267,1.983825725,0.668298876
309CAW126_5.21.14_1,ref,1.093333298,0.808404537,1.871800156,0.917455599,0.775672901
309NAF_5.24.12_1,ref,1.338073416,1.58706058,1.092784317,1.325107873,1.347340894
309PS0116_6.16.11_1,ref,1.19003442,1.069278201,1.275889372,0.781231275,1.633738832
309PS0116_6.16.11_2,ref,1.259066548,1.060086298,1.222563768,1.417018375,1.336597751
309WLCATC_6.22.10_1,ref,1.217763881,1.347340894,1.621949189,1.018360191,0.883405249
310COO_6.24.10_1,ref,1.188034379,1.58706058,0.49262817,1.325107873,1.347340894
310LPCBPC_6.9.09_1,ref,1.290759929,1.069278201,1.083390347,1.026545443,1.983825725
312DAVDAV_6.7.12_1,ref,1.222350291,1.060086298,1.177190267,1.983825725,0.668298876
312MZCDBC_5.13.14_1,ref,0.905363318,0.538936358,1.70760044,0.712362538,0.662553937
312MZCDBC_6.14.10_1,ref,0.986234289,1.58706058,1.032768702,1.325107873,0
312PS0099_6.14.10_1,ref,0.960122308,1.069278201,1.083390347,1.026545443,0.661275242
312PS0099_6.14.10_2,ref,1.040196706,1.060086298,1.177190267,0.921061944,1.002448313
312RYCALR_6.16.10_1,ref,1.082550242,1.077872716,1.399255937,0.859241411,0.993830905
315CHCALS_6.15.10_1,ref,0.521165389,1.190295435,0.04251106,0.851855061,0
402BA0095_5.29.08_1,ref,1.100271253,0.801958651,0.845391552,0.769909083,1.983825725
402BA0287_6.9.08_1,ref,1.082644269,1.060086298,1.162065767,1.039146808,1.069278201
402BA0287_6.9.08_2,ref,0.816819963,0.808404537,1.245083685,0.602203382,0.611588249
402M00005_6.11.15_1,ref,1.043149062,1.58706058,1.192810341,0.694104124,0.698621204
402M00009_6.29.15_1,ref,1.200644202,1.336597751,1.325107873,1.347340894,0.79353029
402MTCUNF_6.5.12_1,ref,0.507077321,0.795064724,0.194097753,1.039146808,0
402PS0048_5.21.08_1,ref,0.868698184,0.808404537,1.621949189,0.381885072,0.662553937
403BA0015_5.19.08_1,ref,0.94699451,1.58706058,1.135652613,0.423673946,0.641590902
403BA0064_5.12.08_1,ref,0.466470805,0.5346391,0.785891854,0.545352267,0
403BA0064_6.18.14_1,ref,1.038235062,0.795064724,1.01514205,1.578963332,0.763770144
403BA0140_5.21.08_1,ref,1.125645157,1.077872716,1.876455764,0.791047649,0.757204499
403BA0171_5.19.08_1,ref,0.972467133,1.58706058,1.092784317,0.536353187,0.673670447
403BA0960_5.21.08_1,ref,0.994270428,1.069278201,1.065890436,0.441565503,1.40034757
403LNCASC_6.15.10_1,ref,1.152104754,1.060086298,1.303227769,1.35403978,0.891065167
403S00064_6.2.10_1,ref,1.023571427,1.077872716,1.733295816,0.620563242,0.662553937
403S00875_6.24.10_1,ref,1.021254063,1.58706058,1.203339396,0.727314848,0.567301429
403S00960_6.2.10_1,ref,1.168643916,1.069278201,1.253389486,0.9348896,1.417018375
403S01536_7.12.11_1,ref,0.524808277,1.060086298,0,1.039146808,0
403S01536_7.12.11_2,ref,0.500052637,1.077872716,0.063096422,0.859241411,0
403S01883_6.21.10_1,ref,1.216880501,1.58706058,0.878442836,1.054677695,1.347340894
403S03643_6.24.10_1,ref,1.01231958,0.5346391,0.870891423,0.659922071,1.983825725
403S03643_6.24.10_2,ref,1.102064153,0.795064724,0.859575762,1.417018375,1.336597751
403S06315_6.27.12_1,ref,1.126741002,1.077872716,1.955989068,0.700122632,0.772979593
403STC064_6.8.11_1,ref,1.186357274,1.58706058,1.092784317,1.167356936,0.898227263
403STC086_6.21.11_1,ref,1.139987998,0.801958651,1.137480982,0.997382221,1.623130138
403STC086_6.21.11_2,ref,1.085372374,0.795064724,1.194641613,1.220815831,1.130967328
403WE0501_5.14.13_1,ref,0.901495063,0.808404537,1.112936041,0.927435174,0.757204499
403WE0540_5.14.14_1,ref,1.192281,1.58706058,1.236299917,1.242803036,0.702960467
403WE0540_5.16.13_1,ref,1.00226163,1.336597751,1.325107873,1.347340894,0
403WE0683_5.15.13_1,ref,1.164068623,1.325107873,1.347340894,1.983825725,0
403WE1027_5.14.14_1,ref,1.119898958,1.077872716,1.800103791,1.336597751,0.265021575
403WE1027_5.30.13_1,ref,0.851199156,1.58706058,0.49262817,1.325107873,0
405BRCAMS_6.7.11_1,ref,0.889516023,1.069278201,1.261889443,0.962386353,0.264510097
405BRCASG_5.7.14_1,ref,0.708650387,0.265021575,1.063756515,0.921061944,0.584761516
405BRCSGR_5.28.08_1,ref,1.139801091,1.077872716,1.473487021,1.124439378,0.883405249
405SGRAAG_5.28.08_1,ref,0.947652822,1.58706058,0.878442836,1.325107873,0
405WER318_3.27.09_1,ref,0.709953302,0.801958651,0.666892456,0.577431812,0.79353029
405WER318_4.30.09_1,ref,0.886411665,0.795064724,1.01514205,0.971669743,0.763770144
405WER318_6.2.09_1,ref,0.931673228,0.808404537,1.065216058,0.859241411,0.993830905
405WER318_7.7.09_1,ref,0.858376917,1.190295435,0.717686725,0.851855061,0.673670447
405WER318_8.18.09_1,ref,0.896362513,0.801958651,0.998390778,0.9348896,0.850211025
504DCFRxx_7.27.10_1,ref,0.929603006,0.795064724,1.194641613,1.111814417,0.61689127
504PS0227_8.12.09_1,ref,0.973218899,0.538936358,1.770411358,0.700122632,0.883405249
504WE0527_7.2.13_1,ref,0.758237638,0.396765145,1.192810341,0.904438707,0.538936358
504WE0527_7.2.13_2,ref,0.801448176,0.26731955,1.182556512,0.962386353,0.79353029
505BMCMCR_8.4.10_1,ref,1.041428831,1.060086298,1.144780624,1.578963332,0.381885072
505BMCMCR_8.4.10_2,ref,1.051468374,1.077872716,1.685575833,1.0638227,0.378602249
505LBCAMR_8.7.13_1,ref,0.851199156,1.58706058,0.49262817,1.325107873,0
505PS0110_8.3.10_1,ref,1.250239845,1.336597751,1.325107873,1.347340894,0.991912862
505PS0110_9.16.10_1,ref,1.045222995,1.060086298,1.177190267,1.275316537,0.668298876
505PS0174_9.27.11_1,ref,1.206070149,1.077872716,1.844642442,1.018360191,0.883405249
506PS0062_9.15.08_1,ref,1.323069512,1.58706058,1.032768702,1.325107873,1.347340894
507MZCAML_7.17.12_1,ref,1.00226163,1.336597751,1.325107873,1.347340894,0
507MZCAML_7.17.12_2,ref,0.945957563,1.060086298,1.144780624,1.578963332,0
509ACNFPP_7.30.08_1,ref,1.111373633,1.077872716,1.65620969,0.89596113,0.815450999
509ACNFPP_9.16.08_1,ref,1.043671607,1.190295435,1.032768702,0.694104124,1.257518168
509ACNFPP_9.25.14_1,ref,1.013572881,1.069278201,1.170889904,1.347340894,0.466782523
509ACSFPP_7.16.08_1,ref,1.213693047,1.060086298,1.041069765,1.417018375,1.336597751
509ATCINC_7.14.08_1,ref,1.225039027,1.077872716,1.399255937,1.097919581,1.325107873
509BSCADC_8.31.11_1,ref,1.224509691,1.58706058,1.192810341,1.219940582,0.898227263
509CBCADC_8.24.10_1,ref,1.16262843,1.069278201,1.232139594,1.026545443,1.322550483
509CTCADC_7.10.12_1,ref,1.165633416,1.060086298,0.950322764,1.983825725,0.668298876
509CWCPLR_7.7.08_1,ref,0.910577761,0.538936358,1.245083685,1.042840004,0.815450999
509FCA054_8.27.13_1,ref,1.110057438,1.190295435,1.152799931,1.198907123,0.898227263
509ICPPCX_7.30.08_1,ref,0.919867263,0.5346391,0.785891854,0.705749992,1.653188104
