"","cnt.spp.IndicatorClass_TP_high","prop.spp.IndicatorClass_DOC_high","prop.spp.Green","prop.spp.BCG3","sba.pMMI"
"111SF1569_7/14/10_1",0.708017922411679,0.604991308653735,0.907509038336267,0,0.55512956735042
"111SF1569_8/2/10_1",0.885022403014599,0.893846581514516,0.907509038336267,1,0.921594505716345
"111SF1569_8/25/10_1",0.708017922411679,0.816818508751641,0.475361877223759,1,0.75004957709677
"111SF1569_8/25/10_2",0.708017922411679,0.852581542534404,0.44449422285858,1,0.751273421951166
"111SF1569_9/14/10_1",0.531013441808759,0.604991308653735,0.151251506389378,0.789640708063153,0.519224241228756
"111SF1944_10/5/10_1",0.708017922411679,0.788808300474231,0.612863246668648,0.984487116546269,0.773544146525207
"111SF1944_7/15/10_1",0.708017922411679,0.604991308653735,0.745453852919077,0.676834892625559,0.683824494152512
"111SF1944_8/24/10_1",0.708017922411679,0.749418945084125,0.421343482084695,1,0.719695087395125
"111SF1944_8/3/10_1",0.708017922411679,0.627210945027641,0.907509038336267,1,0.810684476443897
"111SF1944_9/15/10_1",0.531013441808759,0.526212597873522,0.259288296667505,0.615304447841416,0.482954696047801
"111SF2538_10/3/10_1",0.35400896120584,0.737708596184364,0.311846735181189,1,0.600891073142848
"111SF2538_7/15/10_1",0.885022403014599,0.701276399607328,0.691435457780013,0.902446523500744,0.795045195975671
"111SF2538_8/24/10_1",0.708017922411679,0.804968036018891,0.608330234489146,0.833027560154535,0.738585938268563
"111SF2538_8/3/10_1",0.708017922411679,0.578731738393663,0.671792405002172,0.738365337409701,0.674226850804304
"111SF2538_9/15/10_1",0.35400896120584,0.563726269673623,0.104950024841609,0.51568372771471,0.384592245858945
"111TGCAER_7/24/12_1",0.885022403014599,0.893846581514516,0.907509038336267,0.902446523500744,0.897206136591531
"111TGCAER_8/17/10_1",0.708017922411679,0.662762363225891,0.907509038336267,0.541467914100447,0.704939309518571
"111WE0816_6/12/13_1",0.708017922411679,0.825880634959038,0.526202719707583,0.477765806559218,0.634466770909379
"111WE1050_6/12/13_1",0.708017922411679,0.811316503554292,0.629700149049655,0.58014419367905,0.682294692173669
"111WE1071_7/26/12_1",0.885022403014599,0.893846581514516,0.79947224805814,0.676834892625559,0.813794031303203
"111WER008_7/23/12_1",0.708017922411679,0.701276399607328,0.907509038336267,0.451223261750374,0.692006655526412
"111WER159_10/19/09_1",0.708017922411679,0.508706217700141,0.907509038336267,1,0.781058294612022
"111WER159_5/21/09_1",0.885022403014599,0.893846581514516,0.259288296667505,1,0.759539320299155
"111WER159_6/24/09_1",0.708017922411679,0.316136035792954,0.907509038336267,1,0.732915749135225
"111WER159_8/3/09_1",0.708017922411679,0.604991308653735,0.907509038336267,0.676834892625559,0.72433829050681
"111WER159_9/16/09_1",0.708017922411679,0.123565853885766,0.907509038336267,0,0.434773203658428
"112PS0157_7/12/11_1",0.885022403014599,0.893846581514516,0.777864890002515,0.270733957050224,0.706866957895463
"113GAR010_6/8/09_1",0.708017922411679,0.431678144937266,0.907509038336267,0,0.511801276421303
"113GAR010_8/27/12_1",0.708017922411679,0.508706217700141,0.907509038336267,0.451223261750374,0.643864110049615
"113GAR011_8/22/11_1",0.708017922411679,0.604991308653735,0.907509038336267,0,0.55512956735042
"113GAR011_9/1/10_1",0.885022403014599,0.316136035792954,0.907509038336267,0,0.527166869285955
"113GAR015_8/23/11_1",0.35400896120584,0.650600035947542,0.293405177807966,0.854949338053339,0.538240878253672
"113GAR015_8/31/10_1",0.531013441808759,0.765466460243057,0.475361877223759,1,0.692960444818894
"113GAR015_9/9/13_1",0.531013441808759,0.743139482630629,0.400205849204192,0.706262496652756,0.595155317574084
"113GAR023_8/5/13_1",0.708017922411679,0.801412894199066,0.648220741668762,0.758055079740626,0.728926659505033
"113GAR030_8/26/09_1",0.885022403014599,0.765466460243057,0.33131282351959,0.902446523500744,0.721062052569498
"113GAR030_8/26/09_2",0.708017922411679,0.765466460243057,0.763459984632098,1,0.809236091821709
"113GAR030_8/28/12_1",0.531013441808759,0.788808300474231,0.553934088335124,0.984487116546269,0.714560736791096
"113GAR038_6/8/09_1",0.885022403014599,0.893846581514516,0.907509038336267,0,0.671594505716345
"113GAR038_9/10/12_1",0.708017922411679,0.316136035792954,0.907509038336267,0,0.482915749135225
"113GAR042_9/10/13_1",0.35400896120584,0.687521386613957,0.305589778215274,0.676834892625559,0.505988754665157
"113GAR046_6/18/12_1",0.885022403014599,0.829656520878786,0.763459984632098,0.601631015667163,0.769942481048162
"113GAR046_6/8/09_1",0.708017922411679,0.508706217700141,0.259288296667505,0.451223261750374,0.481808924632425
"113GAR061_6/19/12_1",0.708017922411679,0.788808300474231,0.671792405002172,0.492243558273134,0.665215546540304
